title;abstract;auto_keywords;hand_keywords
"В Вильяндимаа произошло столкновение двух автомобилей, один человек доставлен в больницу";"Сегодня в 8.40 на 82-м километре шоссе Тарту-Вильянди-Килинги-Нымме произошло ДТП — столкнулись два автомобиля.. По первоначальным данным, автомобиль Kia начал обгонять автобус и врезался в ехавший навстречу Mazda. Обе машины в результате столкновения оказались в кювете.В больницу была доставлена управлявшая Kia женщина. Оба водителя были трезвы.";"Вильяндимаа;ДТП;Вильянди;Килинги-Нымме;Mazda;Тарту;Kia";ДТП
ДТП заблокировало шоссе Кунда-Пыдрусе-Пада;"На 3-4 километре трассы Кунда-Пыдрусе-Пада, что в Ляэне-Вирумаа, произошло ДТП, в результате которого движение было заблокировано.. По первоначальным данным, произошло столкновение грузовика и легкового автомобиля.";"ДТП;Кунда;Ляэне-Вирумаа";ДТП
Головная контора Фонда интеграции переехала в Нарву;"Начиная со среды, 2 января, Фонд интеграции продолжит работу в Нарве, где с начала 2019 года располагается головная контора учреждения.. По словам руководителя Фонда интеграции Ирене Кяосаар, переезд головной конторы организации в приграничный город выполняет несколько стратегических задач.”Во-первых, таким образом государство станет ближе к жителям Нарвы. Мне кажется очень симпатичным положение, когда государственные учреждения располагаются в различных местах по всей Эстонии. Так что теперь и в Нарве, начиная с сегодняшнего дня, присутствие государства увеличилось — оно стало ближе к людям”, — сказала Кяосаар.”Вторая цель — предложить образованным людям возможность работать в родных краях. Для Нарвы это означает 20 новых квалифицированных рабочих места, поскольку именно столько рабочих мест Фонд интеграции предложит в Нарве. К концу января в нарвской конторе фонда будет работать уже 16 человек, подавляющее большинство которых родом из Ида-Вирумаа. Проводимые нами конкурсы на замещение рабочих мест были в целом очень успешны и богаты на поданные заявки — это показывает, что нас тут ждут”, — добавила Кяосаар.Третьим и, пожалуй, самым важным изменением Ирене Кяосаар считает рост доступности качественного обучения эстонскому языку и увеличение необходимой поддержки в сфере интеграции в регионе, где живет и работает большое количество людей, чьим родным языком не является эстонский.”Эти люди нуждаются в большей поддержке государства как в изучении эстонского языка, так и в других жизненных сферах — и именно эту поддержку мы в Нарве и окажем, — отметила Кяосаар. — Открывающийся в Нарве летом дом эстонского языка поможет сделать нашу повседневную работу еще эффективнее и надеюсь, что жители Ида-Вирумаа быстро найдут к нам дорогу”.Головная контора Фонда интеграции находится по адресу Кересе, 3 (III этаж). ”Это пока что временные помещения и мы с нетерпением ждем открытия в Нарве дома эстонского языка в центре Нарвы по адресу Линда, 2. Это здание помимо центра развития эстонского языка станет настоящим домом для всего фонда”, — сказала Кяосаар. Нарвский дом эстонского языка откроется, согласно планам, летом этого года.Таллиннское представительство фонда, ранее располагавшееся в Юлемисте Сити, переехало в помещения открывающегося в ближайшие дни таллиннского дома эстонского языка (Рявала, 5).Дома эстонского языка, открывающиеся в Нарве и Таллинне, будут проводить бесплатные курсы эстонского языка, разрабатывать учебные и методические материалы и т.п. Дома эстонского языка станут узловыми пунктами для людей с разными родными языками, желающих изучать и практиковать эстонский язык и стать частью эстонской культуры в более широком плане.";"Нарва;Ирене Кяосаар;Юлемисте;Эстония;Ида-Вирумаа;Таллинн";"Нарва;переезд;эстонский язык"
Tele2: сильный шторм в Эстонии пока еще не привел к крупным нарушениям мобильной связи;"Согласно метеопрогнозам, сегодня в Эстонии возможны сильные порывы ветра — до 30 метров в секунду. Команда Tele2 находится в повышенной готовности и устраняет в текущем порядке последствия разгулявшейся стихии.. Как сообщил директор радиосети Tele2 Танел Сарри, функционирование мобильной связи в первую очередь зависит от бесперебойной подачи электроэнергии. ”Из-за шторма несколько сбоев было зафиксировано на Хийумаа и других островах, а также в прибрежных районах, но крупных нарушений связи на данный момент нет. Для обеспечения дополнительного энергопитания у нас подготовлены запасные электрогенераторы, и наши техники уже подключили их в ряде местностей”, — отметил Сарри.”В данный момент мы предпринимаем все меры для скорейшей ликвидации сбоев и предотвращения возможных нарушений мобильной связи”, — заявил директор радиосети Tele2.";"Tele2;Эстония;Хийумаа";"нарушение мобильной связи;шторм"
27-летней женщине пригрозили на улице в Кохтла-Ярве убийством из пневматического пистолета;"В канун Нового года двое мужчин были задержаны в Кохтла-Ярве за угрозу убийства в адрес 27-летней женщины, сообщает rus.err.ee.. У мужчин был при себе пневматический пистолет, из которого, по первоначальным данным, был также совершен выстрел, сообщила 2 января пресс-служба Идаской префектуры.Полиция в связи с инцидентом, произошедшим на Ярвекюла теэ в Кохтла-Ярве, задержала в качестве подозреваемых двух мужчин в возрасте 46 лет и 41 года.";Кохтла-Ярве;"пневматический пистолет;убийство"
"Снежная буря нарушила работу Таллиннского аэропорта: некоторые рейсы отменены, другие задерживаются";"Сегодняшняя снежная буря привела к отмене нескольких рейсов в Таллиннском аэропорту, также много задержек.. Пресс-секретарь аэропорта Маргот Хольтс сказала, что, например, утренний рейс в Стокгольм был отменен, потому что там тоже шторм и самолет вообще не стал вылетать из Швеции.Также был отменен рейс AirBaltic из Риги, потому что рейс, который должен был прибыть, не приземляясь, повернул обратно в Ригу.Хольтс сказала, что у аэропорта сегодня много проблем. Дует боковой ветер, который не нравится самолетам. Падающая температура воздуха делает взлетно-посадочную полосу скользкой, и густой снегопад ограничивает видимость.Поэтому пилотам вместе с диспетчерами приходится находить подходящий момент, чтобы рейс мог приземлиться. Поэтому самолеты могут делать несколько дополнительных кругов над Эстонией, в то время как на земле пытаются расчистить взлетно-посадочную полосу.Хольтс сказала, что сегодня всем следует считаться с задержкой рейсов. Поскольку прибывающие рейсы часто задерживаются, из-за этого начинают задерживаться и отправляющиеся рейсы.";"Стокгольм;Швеция;Эстония;";"отмена рейса;аэропорт"
"Сорок ”нереальных” километров до больницы, шок и полицейский эскорт. ”Я приняла роды у себя сама. В машине”";"”Это все казалось нереальным. Как в кошмарном сне. Разумеется, я не могла сдерживать потуги. Почувствовала, что должна тужиться, автоматически сняла штаны и опустила спинку сидения. Мой мужчина каким-то чудом сумел сосредоточиться на езде”, — описала произошедшее Кати Мяэсепп.. Ночью 19 сентября женщина почувствовала сильную боль внизу живота — как ножом. Потом боль прошла — женщина сходила в уборную и почувствовала: отошли воды. Она быстро разбудила своего мужа Темара (26) и сказала: ”Надо ехать!”. Мужчина быстро вскочил, они начали собираться. Пара быстро оделась, все необходимое было уже заранее упаковано. По словам женщины, между схватками она считала пять минут.Они живут в Козе — до Таллинна не так далеко, потому было решено ехать на своем транспорте. 40 км. ”Мой отец живет с нами, потому старшая Мелани (2,5) осталась с дедушкой”.Далее — от лица самой молодой матери.40 км до больницыНа полпути промежутки между схватками внезапно изменились: всего две минуты. У меня всю дорогу крутилось: что, если до больницы не успеем… вдруг у ребенка пуповина обвилась вокруг шеи, или он вообще не в том положении? Что делать?! Мы же не будем рожать в машине! Я повторяла себе: мы должны успеть, мы должны успеть! Поехали быстрее.Мы были уже в Таллинне у Центрального рынка, когда нас затормозила полиция. Удивляться нечему: Темар ехал по пустому шоссе со скоростью 150 км/ч, при въезде в город включил аварийку, и в районе базара скорость наша было около 80-90 км/ч. Муж остановился, опустил окно и закричал: ”Мы не можем стоять — мы рожаем”. Полиция на это: ”Вы никуда не поедете, стойте!”. Темар закричал: ”Мы не можем стоять, она прямо сейчас начнет рожать!”. И не соврал. Прямо в этот момент у меня начались потуги. Полицейский понял всю серьезность ситуации, прыгнул в авто и с сиреной и мигалками сопроводил нас до ворот Ида-таллиннской.Когда пришла первая потуга, я лишь внушала себе: должна родить. Сама. Иначе случится что-то плохое. Все было будто бы нереально — как в кошмарном сне. Ясное дело, я их сдерживать не могла. Чувствовала, что должна тужиться: автоматически сняла штаны и опустила спинку сидения. Муж каким-то чудом сосредоточился на езде. В тот момент я его вообще не замечала. Уже с первой потугой показалась голова ребенка — мальчика. Прямо у ворот больницы! Я была в дикой панике, знала, что вот-вот придет вторая. В один момент все превратилось в черную картину. Я не плакала: от шока я даже боли не чувствовала.Муж подъехал прямо к дверям больницы и побежал звать врачей. В этот момент началась вторая потуга — и я сама у себя приняла роды. Потом положила ребенка на себя и стала ждать врачей. Я не понимала: что происходит, и где я.Полный шокВрачи сразу же прибыли, усадили меня с ребенком в коляску и увезли. Спросили: могу ли сидеть или стоять. К счастью, у меня обнаружился какой-то запас энергии, снаружи было нехолодно. Пуповину перерезали сразу же, только мы въехали в помещение — ребенок начал синеть. Он, кажется, даже закричал. Далее нас сразу же повезли в родовую — там вышла плацента, и нас осмотрели. Ребенок оказался красивым и здоровым! Меня даже не зашивали. После этого малыша положили мне на грудь, чтобы был контакт кожа-к-коже, я его первый раз покормила, и через какое-то время врачи разрешили нам отправиться в семейную палату.Темар при всем при этом сохранял невероятное спокойствие. Конечно же, и он был в шоке, но мне этого не показывал. Он очень мне помогал во всем. Как наконец-то мы прилегли в палате — даже не верилось, с чем нам только что удалось справиться. До сих пор не верится!В больнице мы были две ночи. Муж — одну: он ездил мыть салон, и был со старшей дома. Врачи в больнице были крайне удивлены: как это так все моментально произошло. Большинство медиков, кто приходил меня навешать и осматривать, поражались и задавали вопросы. Особенно же я благодарна своему мужчине за то, что сумел сохранить невозмутимость во всем этом и доставить нас в больницу.Старшая приходила потом с мужем нас навещать в роддоме. Она поначалу не понимала: где я и почему, потому заходила в палату очень стеснительно. В день возвращения домой Мелани была в садике. Вечером по возвращении она уже была невероятно горда, что у нее есть братик: все рассматривала его и трогала.Роды же старшего ребенка длились четыре с половиной часа. Боли также начались ночью, но они были не такими, как с Оливером: самый кошмар начался уже в родовой. Первые роды показались мне очень безопасными. Я постоянно находилось под присмотром врачей и ни о чем не заботилась. Все прошло легко, обезболивающих я не получала. При вторых же родах я была вынуждена все решения приниматься самостоятельно: в голове крутились все фильмы и передачи о родах.С того момента прошло три месяца. Сынок растет нормально!";Таллинн;"ребенок;роды"
На дорогах Латвии появятся устройства для фиксации проезда на красный свет и радары для измерения средней скорости;"В 2019 году на латвийских дорогах появятся новые современные устройства для обеспечения контроля за движением. Об этом сообщает rus.delfi.lv со ссылкой на главу Бюро по контролю и координации дорожного движения Винету Мистре.. До весны на шоссе Тинужи — Кокнесе установят радары для фиксации средней скорости. Ранее эти устройства уже тестировались на дорогах Латвии. Принцип действия радаров, фиксирующих среднюю скорость движения, прост: один детектор фиксирует номер автомобиля и его скорость и время в начале отрезка пути, а другой — те же данные в конце отрезка. Система подсчитывает среднюю скорость движения авто на этом участке. Если она превышена, то нарушителя ждет штраф.По словам Мистре, шоссе Тинужи — Кокнесе выбрано для установки таких радаров по той причине, что на нем регулярно происходят тяжкие аварии. И хотя на этой дороге уже установлены стационарные фоторадары, а полиция постоянно контролирует безопасность дорожного движения, этого недостаточно. Несмотря на то, что шоссе было построено относительно недавно, реальная жизнь показала, что на ситуацию нужно соответственно реагировать";Латвия;радар фиксации скорости
В память о решающих сражениях Освободительной войны состоятся народные походы;"В воскресенье, 6 января, в память о победных сражениях Эстонской освободительной войны, которые состоялись с 3 по 7 января 1919 года, пройдут народные походы. Вдоль исторической линии фронта Освободительной войны состоится четыре похода с предварительной регистрацией. В честь столетия Освободительной войны в 2019 году проходит серия событий ”Путь свободы”.. ”Переломные бои Освободительной войны проходили в январе 1919 года. Народными походами отметим происходившие сто лет назад важные события, которые способствовали сохранению молодой Эстонской Республики”, — сказал председатель руководящей группы ЭР100 Государственной канцелярии Тоомас Кихо. ”Маршруты походов проходят по местам исторической линии фронта, где были остановлены войска противника. Во время походов будет пронесен и огонь свободы, который будет зажжен в Валкла, в Харьюмаа, и завершит свой путь у границы с Латвией на месте сражения в Пунапарги”, — отметил Кихо.Огонь свободы будет зажжен в 8:00 6 января на северном побережье Эстонии в Валкла, где 100 лет назад состоялось первое поворотное сражение. Огонь свободы во время народных походов будет пронесен вдоль исторической линии фронта, в последний раз его зажгут на месте сражения в Пунапарги у границы с Латвией в 17:00. ”Огонь свободы будет передвигаться вместе с членами Союза обороны Эстонии Кайтселийт и участниками народных походов”, — добавил Кихо.Народные походы ”До сих пор и не больше!” пройдут на четырех участках линии фронта Освободительной войны:В 9:00 начнется поход от мемориального камня Приске до Лахингувялья. Протяженность маршрута — 9 километров. Поход проведет Свен Лукс. Дополнительная информация и регистрация на странице и по адресу электронной почты info@retkejuht.ee.В 10:00 начнется народный поход от мызы Водья до Мюйслери. Протяженность маршрута — 15 километров. Дополнительная информация и регистрация на странице.В 11:00 стартует поход от мемориального камня Айду до Садукюла. Протяженность маршрута — 10 километров. Дополнительная информация и регистрация по адресу ulle.ottokar@poltsamaa.ee или по телефону 5300 2557.В 16:00 начнется поход от центральной площади Каркси-Нуйа до памятника Освободительной войне. Протяженность маршрута — 1 километр, предварительная регистрация не требуется.С информацией о событиях, которые пройдут на исторической линии фронта Освободительной войны, можно ознакомиться на странице.В память о происходивших 100 лет назад событиях Освободительной войны в 2019 году состоится серия событий ”Путь свободы”. Помимо народных походов состоятся и постановочные бои, а также памятные церемонии. Путь по Эстонии совершит и бронепоезд номер 7 Wabadus, который стартует 4 января из Кехра.Период празднования столетнего юбилея Эстонской Республики продлится до 2 февраля 2020 года, когда будет отмечаться 100 лет со дня заключения Тартуского мирного договора. В 2019 году события ЭР100 сосредоточатся на сотой годовщине Освободительной войны Эстонии. Более подробная информация о мероприятиях в честь юбилея приведена на странице.Освободительная война в Эстонии велась за независимость страны с 28 ноября 1918 года по 3 января 1920 года с войсками Красной армии, и в июне-июле 1919 года шло противостояние подразделениям Прибалтийского ландесвера. В результате сражений Красная армия была вытеснена из Эстонии, и 2 февраля 1920 года Тартуским мирным договором была признана независимость Эстонии.В память о сотой годовщине Освободительной войны до 2 февраля 2020 года состоятся различные мероприятия и памятные церемонии. 4 января 2019 года из Кехра начнет свой путь вдоль исторической линии фронта воссозданный бронепоезд номер 7 Wabadus и размещенная в нем выставка. По пути в Валга бронепоезд сделает несколько остановок, во время которых можно будет ознакомиться с выставкой, послушать концерты, а также посмотреть на постановочные бои.Решающие бои Освободительной войны состоялись в период с 3 по 7 января 1919 года. 6 января отметим столетие этих событий народными походами и зажжением огня свободы. Мероприятия пройдут в местах исторической линии фронта и носят название ”До сих пор и не больше!”.";"Wabadus;Освободительная война;Тартуский мирный договор;Валга;Кайтселийт;Латвия;Народный;Красная армия;Кехра;независимость Эстонии;Эстония;Харьюмаа";"освободительная война;память;независимость Эстонии"
Полиция: миграционная квота на 2019 год полностью исчерпана;"По положению на 2 января в Департамент полиции и погранохраны подано свыше 1315 ходатайств о виде на жительство для работы или предпринимательства, то есть больше совокупной миграционной квоты на 2019 год. Таким образом, миграционная квота на текущий год была исчерпана в течение месяца после открытия периода подачи заявок.. Об этом сообщила в среду пресс-служба Департамента полиции и погранохраны, отметив, что 1300 ходатайств были представлены уже к концу декабря 2018 года, передает rus.err.ee.После исчерпания миграционной квоты иностранцам нельзя выдавать вид на жительство для работы или предпринимательской деятельности.По словам советника-эксперта бюро идентификации и статусов Департамента полиции и погранохраны Лийз Валк, хотя часть ходатайств будет отклонена, квота, скорее всего, заполнится в самом начале года.";Департамент полиции и погранохраны;"миграционная квота;вид на жительство"
В Вильнюсе произошло необычное ДТП — Audi ехал по стоявшим автомобилям;"1 января в Вильнюсе, на ул. Львово, произошло необычное ДТП: автомобиль Audi A4 заехал на стоявшие вдоль улицы автомобили, сообщает ru.delfi.lt.. Автомобилем Audi управлял молодой гражданин Турции (1996 г.р.). Он рассказал полиции, что у него заболела нога, он нагнулся и нечаянно повернул руль.Каким-то способом одна сторона Audi поднялась и левыми колесами проехала по боковой части BMW, затем автомобиль заехал на Skoda Superb, а потом на Opel. Особенно сильно был поврежден автомобиль Skoda — помят весь бок, сорван капот и т.д.Проживающий в Литве гражданин Турции сказал, что здесь он учится. В его крови был алкоголь, но ничтожно малое количество — 0,07 промилле. Литовских прав у молодого человека нет, однако он уверял, что у него есть турецкие права.Правда, при себе у него документа не было, а литовская полиция не может проверить эту информацию по турецкой базе данных. Поэтому молодого человека ждет наказание за вождение без прав.";"ДТП;Вильнюс;Львов;Audi A4;Литва;Opel;BMW;Skoda Superb;Турция";"ДТП;"
В Таллинне объявлен конкурс ”Путь Хярьяпеа”;"Таллинн объявляет открытый конкурс, чтобы найти подходящее оформление и обозначить русло реки Хярьяпеа в городском пространстве Таллинна.. В ходе конкурса предполагается найти концепцию и обозначить принципы обозначения протекавшей по Таллинну реки Хярьяпеа, чтобы руководствоваться ими в дальнейшем планировании, при создании эскизов и строительных объектов, которые совпадают с руслом этой реки.Вице-мэр Таллинна Андрей Новиков отметил, что конкурс предлагает замечательную возможность осмыслить имидж Таллинна как города у воды. В будущем появится пешеходная дорожка, посвященная речке Хярьяпеа, которая будет вести от улицы Юхкентали до моря.Во времена Средневековья Хярьяпеа была самой полноводной рекой Таллинна, она вытекала из озера Юлемисте и впадала в море, выполняя важнейшую роль в развитии Таллинна как промышленного города, а также в формировании нескольких районов, через которые протекала река. Речка Хярьяпеа постепенно исчезала из городского пейзажа, загрязненная высокой промышленной нагрузкой, она была уведена под землю в 1930-1950 гг. Сегодня о существовании реки напоминают лишь ландшафт Пооламяги, водяная мельница Юхкентали и промышленный ансамбль на горке Сосси.В конкурсе могут принять участие как специалисты, так и студенты. Срок подачи предложений — 25 февраля 2019 года в 14:00. С условиями конкурса можно ознакомиться на странице Таллиннского департамента городского планирования.";"Юлемисте;Таллинн;Андрей Новиков";конкурс
"Власти подсчитали, сколько людей живет в Таллинне";"По данным Регистра народонаселения на 1 января 2019 года в Таллинне живут 453 033 человека. Это значит, что за год официальная численность населения столицы возросла на 4269 жителей.. Год назад в Таллинне числилось 448 764 жителя. В мае была преодолена отметка в 450 000 человек, в декабре число возросло до 453 673, но за месяц оно снизилось на 640.За прошлый год население Таллинна возросло на 5141 человека, 1 января 2017 года в городе были зарегистрированы 443 623 жителя. За 16 лет население столицы увеличилось на 70 000. Отметка в 400 000 жителей была преодолена 1 сентября 2004 года.";Таллинн;численность населения
Как в Ласнамяэ и Копли встречали Новый год русские и что они пожелали эстонцам;"В столичных районах Ласнамяэ и Пыхья-Таллинн есть так называемые русские бары, где собираются русские. В этом, втором, новогоднем выпуске представляем опрос среди русских — об их планах в новогоднюю ночь, а также новогоднем пожелании для эстонцев.. ";"Ласнамяэ;Копли;Пыхья-Таллинн";русские
1 января в Нарве прошел забег обещаний;"В первый день нового 2019 года, 1 января, в Нарве состоялся второй по счету Забег обещаний. Более 40 как взрослых так и юных участников собрались в 12:00 на Пушкинской аллее, сказано в пресс-релизе.. Помимо преодоления дистанции в 2019 метров, в ”меню” мероприятия был горячий чай, музыка, живое общение и радость от активного и веселого начала нового 2019 года.Участники написали на специальных бланках свои новогодние обещания, цели, пожелания на предстоящий год. У всех они были разные: спортивные, семейные, карьерные.В мероприятии приняли участники из Нарвы, Таллинна и даже гости из Нижнего Новгорода.В этом году ”Забег обещаний” прошел в одно время в Нарве и Таллинне.";"Нарва;Таллинн";"Нарва;забег"
"На площади Компасси откроют стенд, посвященный Таллиннской Введенской церкви";"В субботу, 5 января, в 13:00 Управа района Кесклинн откроет на углу улиц Гонсиори и Реймани стенд, посвященный Таллиннской Введенской церкви подворья Пюхтицкого Успенского монастыря, сообщает районная управа.. «Для нас важно, чтобы в условиях быстро развивающегося города, каким является Таллинн, была запечатлена его история. Особенно важно, чтобы не терялась память о тех постройках, которые раньше определяли облик центра города. К ним, несомненно, относится и находившаяся в микрорайоне Компасси Таллиннская Введенская церковь, здание которой было снесено около 60 лет назад и на месте которой сейчас находится популярный цветочный магазин Kannike», - отметил старейшина района Кесклинн Владимир Свет.Таллиннская Введенская церковь подворья Пюхтицкого Успенского монастыря с 1902 по 1960 год находилась на углу нынешних улиц Гонсиори и Реймани. В 1900 году на территории подворья был заложен двухэтажный каменный храм, который был построен два года спустя. Проект здания был выполнен архитектором Николаем Никоновым. В годы Второй мировой войны комплекс подворья пострадал дважды – в 1941 и 1944 годах, но церковь была отреставрирована. Церковь пала жертвой масштабной кампании СССР по борьбе с религией. В 1960 году она была снесена под предлогом расширения улиц.В открытии стенда 5 января примет участие Митрополит Таллиннский и всея Эстонии Евгений. После открытия известный гид Эдуард Кольхоф и историк Отт Сандрак проведут экскурсии по микрорайону Компасси на эстонском и русском языках.Открытие стенда пройдет в рамках проекта Управы района Кесклинн, посвященного памятникам архитектуры, которые украшали городское пространство в прошлом, но к сегодняшнему дню исчезли. Первый такой стенд был открыт в декабре прошлого года на углу улиц Койду и Луйзе и был посвящен дому, в котором родилась Марие Ундер.";"Кесклинн;Гонсиори;Владимир Свет;Эстония;СССР;Таллинн";"церковь;религия;Таллинн"
